Date,Current_Quadrant,3M_Forecast_Quad,3M_Conviction,3M_Real_Date,3M_Real_Quad,3M_Hit,6M_Forecast_Quad,6M_Conviction,6M_Real_Date,6M_Real_Quad,6M_Hit,9M_Forecast_Quad,9M_Conviction,9M_Real_Date,9M_Real_Quad,9M_Hit
2020-10-01,Expansion,Expansion,30.2,2021-01-01,Expansion,True,Slowdown,21.2,2021-04-01,Expansion,False,Slowdown,15.0,2021-07-01,Expansion,False
2020-11-01,Expansion,Slowdown,30.0,2021-02-01,Expansion,False,Slowdown,43.0,2021-05-01,Expansion,False,Slowdown,34.0,2021-08-01,Expansion,False
2020-12-01,Expansion,Slowdown,52.1,2021-03-01,Expansion,False,Slowdown,43.1,2021-06-01,Expansion,False,Slowdown,34.1,2021-09-01,Expansion,False
2021-01-01,Expansion,Expansion,52.0,2021-04-01,Expansion,True,Slowdown,61.0,2021-07-01,Expansion,False,Slowdown,52.0,2021-10-01,Slowdown,True
2021-02-01,Expansion,Expansion,52.2,2021-05-01,Expansion,True,Slowdown,21.2,2021-08-01,Expansion,False,Slowdown,15.0,2021-11-01,Slowdown,True
2021-03-01,Expansion,Expansion,70.3,2021-06-01,Expansion,True,Slowdown,43.3,2021-09-01,Expansion,False,Slowdown,34.3,2021-12-01,Slowdown,True
2021-04-01,Expansion,Expansion,69.8,2021-07-01,Expansion,True,Expansion,42.8,2021-10-01,Slowdown,False,Expansion,33.8,2022-01-01,Slowdown,False
2021-05-01,Expansion,Expansion,70.3,2021-08-01,Expansion,True,Slowdown,43.3,2021-11-01,Slowdown,True,Slowdown,15.0,2022-02-01,Slowdown,True
2021-06-01,Expansion,Expansion,70.2,2021-09-01,Expansion,True,Slowdown,43.2,2021-12-01,Slowdown,True,Slowdown,15.0,2022-03-01,Slowdown,True
2021-07-01,Expansion,Expansion,70.2,2021-10-01,Slowdown,False,Slowdown,43.2,2022-01-01,Slowdown,True,Slowdown,34.2,2022-04-01,Slowdown,True
2021-08-01,Expansion,Expansion,52.2,2021-11-01,Slowdown,False,Slowdown,43.2,2022-02-01,Slowdown,True,Slowdown,34.2,2022-05-01,Slowdown,True
2021-09-01,Expansion,Slowdown,70.0,2021-12-01,Slowdown,True,Slowdown,61.0,2022-03-01,Slowdown,True,Slowdown,52.0,2022-06-01,Slowdown,True
2021-10-01,Slowdown,Slowdown,71.0,2022-01-01,Slowdown,True,Slowdown,62.0,2022-04-01,Slowdown,True,Slowdown,53.0,2022-07-01,Slowdown,True
2021-11-01,Slowdown,Slowdown,71.0,2022-02-01,Slowdown,True,Slowdown,62.0,2022-05-01,Slowdown,True,Slowdown,53.0,2022-08-01,Slowdown,True
2021-12-01,Slowdown,Slowdown,70.9,2022-03-01,Slowdown,True,Slowdown,61.9,2022-06-01,Slowdown,True,Slowdown,52.9,2022-09-01,Slowdown,True
2022-01-01,Slowdown,Slowdown,70.8,2022-04-01,Slowdown,True,Slowdown,61.8,2022-07-01,Slowdown,True,Slowdown,52.8,2022-10-01,Slowdown,True
2022-02-01,Slowdown,Slowdown,70.8,2022-05-01,Slowdown,True,Slowdown,61.8,2022-08-01,Slowdown,True,Slowdown,52.8,2022-11-01,Slowdown,True
2022-03-01,Slowdown,Slowdown,70.7,2022-06-01,Slowdown,True,Slowdown,61.7,2022-09-01,Slowdown,True,Slowdown,34.7,2022-12-01,Slowdown,True
2022-04-01,Slowdown,Slowdown,70.5,2022-07-01,Slowdown,True,Slowdown,43.5,2022-10-01,Slowdown,True,Slowdown,34.5,2023-01-01,Slowdown,True
2022-05-01,Slowdown,Slowdown,52.7,2022-08-01,Slowdown,True,Slowdown,43.7,2022-11-01,Slowdown,True,Slowdown,34.7,2023-02-01,Slowdown,True
2022-06-01,Slowdown,Slowdown,52.8,2022-09-01,Slowdown,True,Slowdown,43.8,2022-12-01,Slowdown,True,Slowdown,34.8,2023-03-01,Slowdown,True
2022-07-01,Slowdown,Slowdown,52.9,2022-10-01,Slowdown,True,Slowdown,43.9,2023-01-01,Slowdown,True,Contraction,15.0,2023-04-01,Contraction,True
2022-08-01,Slowdown,Slowdown,52.8,2022-11-01,Slowdown,True,Slowdown,43.8,2023-02-01,Slowdown,True,Contraction,15.0,2023-05-01,Contraction,True
2022-09-01,Slowdown,Slowdown,52.7,2022-12-01,Slowdown,True,Slowdown,43.7,2023-03-01,Slowdown,True,Contraction,15.0,2023-06-01,Contraction,True
2022-10-01,Slowdown,Slowdown,52.7,2023-01-01,Slowdown,True,Slowdown,43.7,2023-04-01,Contraction,False,Contraction,15.0,2023-07-01,Contraction,True
2022-11-01,Slowdown,Slowdown,52.5,2023-02-01,Slowdown,True,Slowdown,43.5,2023-05-01,Contraction,False,Contraction,15.0,2023-08-01,Contraction,True
2022-12-01,Slowdown,Slowdown,52.5,2023-03-01,Slowdown,True,Slowdown,43.5,2023-06-01,Contraction,False,Contraction,15.0,2023-09-01,Contraction,True
2023-01-01,Slowdown,Slowdown,52.7,2023-04-01,Contraction,False,Slowdown,43.7,2023-07-01,Contraction,False,Contraction,15.0,2023-10-01,Recovery,False
2023-02-01,Slowdown,Slowdown,52.6,2023-05-01,Contraction,False,Slowdown,43.6,2023-08-01,Contraction,False,Contraction,15.0,2023-11-01,Recovery,False
2023-03-01,Slowdown,Slowdown,52.5,2023-06-01,Contraction,False,Slowdown,21.5,2023-09-01,Contraction,False,Contraction,34.5,2023-12-01,Recovery,False
2023-04-01,Contraction,Contraction,50.5,2023-07-01,Contraction,True,Contraction,19.5,2023-10-01,Recovery,False,Recovery,15.0,2024-01-01,Recovery,True
2023-05-01,Contraction,Contraction,50.8,2023-08-01,Contraction,True,Contraction,19.8,2023-11-01,Recovery,False,Recovery,15.0,2024-02-01,Recovery,True
2023-06-01,Contraction,Contraction,51.7,2023-09-01,Contraction,True,Recovery,42.7,2023-12-01,Recovery,True,Recovery,15.0,2024-03-01,Recovery,True
2023-07-01,Contraction,Recovery,53.0,2023-10-01,Recovery,True,Recovery,44.0,2024-01-01,Recovery,True,Recovery,15.0,2024-04-01,Recovery,True
2023-08-01,Contraction,Recovery,53.9,2023-11-01,Recovery,True,Recovery,62.9,2024-02-01,Recovery,True,Recovery,35.9,2024-05-01,Recovery,True
2023-09-01,Contraction,Recovery,72.1,2023-12-01,Recovery,True,Recovery,45.1,2024-03-01,Recovery,True,Recovery,36.1,2024-06-01,Recovery,True
2023-10-01,Recovery,Recovery,72.1,2024-01-01,Recovery,True,Recovery,45.1,2024-04-01,Recovery,True,Recovery,36.1,2024-07-01,Recovery,True
2023-11-01,Recovery,Recovery,72.1,2024-02-01,Recovery,True,Recovery,45.1,2024-05-01,Recovery,True,Expansion,36.1,2024-08-01,Recovery,False
2023-12-01,Recovery,Recovery,72.3,2024-03-01,Recovery,True,Recovery,45.3,2024-06-01,Recovery,True,Expansion,36.3,2024-09-01,Recovery,False
2024-01-01,Recovery,Recovery,72.1,2024-04-01,Recovery,True,Recovery,45.1,2024-07-01,Recovery,True,Expansion,36.1,2024-10-01,Recovery,False
2024-02-01,Recovery,Recovery,72.0,2024-05-01,Recovery,True,Recovery,45.0,2024-08-01,Recovery,True,Expansion,36.0,2024-11-01,Recovery,False
2024-03-01,Recovery,Recovery,72.1,2024-06-01,Recovery,True,Expansion,45.1,2024-09-01,Recovery,False,Expansion,36.1,2024-12-01,Recovery,False
2024-04-01,Recovery,Recovery,71.9,2024-07-01,Recovery,True,Expansion,44.9,2024-10-01,Recovery,False,Expansion,35.9,2025-01-01,Expansion,True
2024-05-01,Recovery,Recovery,71.6,2024-08-01,Recovery,True,Expansion,44.6,2024-11-01,Recovery,False,Expansion,35.6,2025-02-01,Expansion,True
2024-06-01,Recovery,Expansion,53.4,2024-09-01,Recovery,False,Expansion,44.4,2024-12-01,Recovery,False,Expansion,35.4,2025-03-01,Expansion,True
2024-07-01,Recovery,Recovery,71.3,2024-10-01,Recovery,True,Expansion,44.3,2025-01-01,Expansion,True,Expansion,35.3,2025-04-01,Expansion,True
2024-08-01,Recovery,Recovery,70.9,2024-11-01,Recovery,True,Expansion,43.9,2025-02-01,Expansion,True,Expansion,52.9,2025-05-01,Expansion,True
2024-09-01,Recovery,Expansion,52.3,2024-12-01,Recovery,False,Expansion,43.3,2025-03-01,Expansion,True,Expansion,34.3,2025-06-01,Expansion,True
2024-10-01,Recovery,Recovery,70.1,2025-01-01,Expansion,False,Expansion,43.1,2025-04-01,Expansion,True,Expansion,34.1,2025-07-01,Expansion,True
2024-11-01,Recovery,Expansion,52.2,2025-02-01,Expansion,True,Expansion,61.2,2025-05-01,Expansion,True,Expansion,52.2,2025-08-01,Expansion,True
2024-12-01,Recovery,Expansion,70.5,2025-03-01,Expansion,True,Expansion,61.5,2025-06-01,Expansion,True,Expansion,52.5,2025-09-01,Expansion,True
2025-01-01,Expansion,Expansion,71.3,2025-04-01,Expansion,True,Expansion,62.3,2025-07-01,Expansion,True,Expansion,53.3,2025-10-01,Expansion,True
2025-02-01,Expansion,Expansion,72.0,2025-05-01,Expansion,True,Expansion,63.0,2025-08-01,Expansion,True,Expansion,36.0,2025-11-01,Expansion,True
2025-03-01,Expansion,Expansion,72.7,2025-06-01,Expansion,True,Expansion,63.7,2025-09-01,Expansion,True,Expansion,36.7,2025-12-01,Expansion,True
2025-04-01,Expansion,Expansion,72.8,2025-07-01,Expansion,True,Expansion,45.8,2025-10-01,Expansion,True,Expansion,36.8,2026-01-01,Expansion,True
2025-05-01,Expansion,Expansion,72.0,2025-08-01,Expansion,True,Expansion,45.0,2025-11-01,Expansion,True,Expansion,36.0,2026-02-01,Expansion,True
2025-06-01,Expansion,Expansion,71.7,2025-09-01,Expansion,True,Expansion,44.7,2025-12-01,Expansion,True,Expansion,35.7,2026-03-01,Expansion,True
2025-07-01,Expansion,Expansion,53.7,2025-10-01,Expansion,True,Expansion,44.7,2026-01-01,Expansion,True,Expansion,35.7,2026-04-01,Expansion,True
2025-08-01,Expansion,Expansion,53.2,2025-11-01,Expansion,True,Expansion,44.2,2026-02-01,Expansion,True,Slowdown,35.2,2026-05-01,Slowdown,True
2025-09-01,Expansion,Expansion,53.3,2025-12-01,Expansion,True,Slowdown,44.3,2026-03-01,Expansion,False,Slowdown,35.3,2026-06-01,Slowdown,True
